GSE114269 	GSM3136797
GSE114269 	GSM3136796
GSE114269 	GSM3136795
GSE114269 	GSM3136794
GSE114269 	GSM3136793
GSE114269 	GSM3136792
GSE114269 	GSM3136791
GSE114269 	GSM3136790
GSE114269 	GSM3136789
GSE114269 	GSM3136788
GSE114269 	GSM3136787
GSE114269 	GSM3136786
GSE114269 	GSM3136785
GSE114269 	GSM3136784
GSE114269 	GSM3136783
GSE114269 	GSM3136782
GSE114269 	GSM3136781
GSE114269 	GSM3136780
GSE114269 	GSM3136779
GSE114269 	GSM3136778
GSE114269 	GSM3136777
GSE114269 	GSM3136776
GSE114269 	GSM3136775
GSE114269 	GSM3136774
GSE114269 	GSM3136773
GSE114269 	GSM3136772
GSE114269 	GSM3136771
GSE114269 	GSM3136770
GSE114269 	GSM3136769
GSE114269 	GSM3136768
GSE114269 	GSM3136767
GSE114269 	GSM3136766
GSE114269 	GSM3136765
GSE114269 	GSM3136764
GSE114269 	GSM3136763
GSE114269 	GSM3136762
GSE114269 	GSM3136761
GSE114269 	GSM3136760
GSE114269 	GSM3136759
GSE114269 	GSM3136758
GSE114269 	GSM3136757
GSE114269 	GSM3136756
GSE114269 	GSM3136755
GSE114269 	GSM3136754
GSE114269 	GSM3136753
GSE114269 	GSM3136752
GSE114269 	GSM3136751
GSE114269 	GSM3136750
GSE114269 	GSM3136749
GSE114269 	GSM3136748
GSE114269 	GSM3136747
GSE114269 	GSM3136746
GSE114269 	GSM3136745
GSE115947 	GSM3195888
GSE115947 	GSM3195887
GSE115947 	GSM3195886
GSE115947 	GSM3195885
GSE115947 	GSM3195884
GSE115947 	GSM3195883
GSE115947 	GSM3195882
GSE115947 	GSM3195881
GSE115947 	GSM3195880
GSE115947 	GSM3195879
GSE115947 	GSM3195878
GSE115947 	GSM3195877
GSE108134 	GSM2891002
GSE108134 	GSM2891001
GSE108134 	GSM2891000
GSE108134 	GSM2890999
GSE108134 	GSM2890998
GSE108134 	GSM2890997
GSE108134 	GSM2890996
GSE108134 	GSM2890995
GSE108134 	GSM2890994
GSE108134 	GSM2890993
GSE108134 	GSM2890992
GSE108134 	GSM2890991
GSE108134 	GSM2890990
GSE108134 	GSM2890989
GSE108134 	GSM2890988
GSE108134 	GSM2890987
GSE108134 	GSM2890986
GSE108134 	GSM2890985
GSE108134 	GSM2890984
GSE108134 	GSM2890983
GSE108134 	GSM2890982
GSE108134 	GSM2890981
GSE108134 	GSM2890980
GSE108134 	GSM2890979
GSE108134 	GSM2890978
GSE108134 	GSM2890977
GSE108134 	GSM2890976
GSE108134 	GSM2890975
GSE108134 	GSM2890974
GSE108134 	GSM2890973
GSE108134 	GSM2890972
GSE108134 	GSM2890971
GSE108134 	GSM2890970
GSE108134 	GSM2890969
GSE108134 	GSM2890968
GSE108134 	GSM2890967
GSE108134 	GSM2890966
GSE108134 	GSM2890965
GSE108134 	GSM2890964
GSE108134 	GSM2890963
GSE108134 	GSM2890962
GSE108134 	GSM2890961
GSE108134 	GSM2890960
GSE108134 	GSM2890959
GSE108134 	GSM2890958
GSE108134 	GSM2890957
GSE108134 	GSM2890956
GSE108134 	GSM2890955
GSE108134 	GSM2890954
GSE108134 	GSM2890953
GSE108134 	GSM2890952
GSE108134 	GSM2890951
GSE108134 	GSM2890950
GSE108134 	GSM2890949
GSE108134 	GSM2890948
GSE108134 	GSM2890947
GSE108134 	GSM2890946
GSE108134 	GSM2890945
GSE108134 	GSM2890944
GSE108134 	GSM2890943
GSE108134 	GSM2890942
GSE108134 	GSM2890941
GSE108134 	GSM2890940
GSE108134 	GSM2890939
GSE108134 	GSM2890938
